Gün Sonu Raporu
---------------
1	30.12.2024 16:20:20	30.12.2024 17:20:20	40,00	Nakit: 40,00
1	30.12.2024 16:20:20	30.12.2024 17:20:20	40,00	Nakit: 40,00
3	30.12.2024 16:20:24	30.12.2024 17:20:24	35,00	Nakit: 35,00
3	30.12.2024 16:20:24	30.12.2024 17:20:24	35,00	Nakit: 35,00
4	30.12.2024 16:20:29	30.12.2024 17:20:29	24,00	Nakit: 24,00
4	30.12.2024 16:20:29	30.12.2024 17:20:29	24,00	Nakit: 24,00
10	30.12.2024 16:20:36	30.12.2024 17:20:36	42,00	Nakit: 42,00
10	30.12.2024 16:20:36	30.12.2024 17:20:36	42,00	Nakit: 42,00
10	30.12.2024 16:20:39	30.12.2024 17:20:39	42,00	Nakit: 42,00
10	30.12.2024 16:20:39	30.12.2024 17:20:39	42,00	Nakit: 42,00
7	30.12.2024 16:20:48	30.12.2024 17:20:48	80,00	Nakit: 80,00
7	30.12.2024 16:20:48	30.12.2024 17:20:48	80,00	Nakit: 80,00
7	30.12.2024 16:20:48	30.12.2024 17:20:48	80,00	Nakit: 80,00
1	30.12.2024 16:20:55	30.12.2024 17:20:55	40,00	Nakit: 40,00
3	30.12.2024 16:21:00	30.12.2024 17:21:00	35,00	Nakit: 35,00
4	30.12.2024 16:21:06	30.12.2024 17:21:06	24,00	Nakit: 24,00
7	30.12.2024 16:21:12	30.12.2024 17:21:12	80,00	Nakit: 80,00
10	30.12.2024 16:21:17	30.12.2024 17:21:17	44,00	Nakit: 44,00
Genel Toplam				Toplam Sipariş Adedi: 18, Toplam Nakit: ₺829,00, Toplam Kart: ₺0,00, Bahşiş: ₺0,00
Toplam Ciro: ₺829,00
